tm,adv,coor,delay,adv.input,coor.input,delay.input,hyl,gyzjz,hyzzl,x12hyl,x12gyzjz,x12hyzzl,kyl,kyzzl,gdzctz,x12kyl,x12kyzzl,x12gdzctz,gc,ym,yy,hlfdl,x12gc,x12ym,x12yy,x12hlfdl
2008/3/1,0,0,0,0,0,0,2.148038127,16.2128559,1731.024837,1.008505951,0.969074283,1.015078262,1.198606043,4248.680841,2287470.941,1.007118468,1.16889542,1.212956537,5010.137855,21401.68053,2875.279205,2416.375714,1.003296363,1.017484129,0.979740617,1.001855429
2008/4/1,0,0,0,0,0,0,2.15207784,15.9232765,1744.29586,1.005627655,0.957127538,1.013172885,1.203294247,4321.231063,2456009.697,1.007340218,1.167826496,1.219416241,5023.148129,21678.7128,2880.110485,2424.773473,0.999262301,1.015541086,0.995088428,0.99751369
2008/5/1,0,0,0,0,0,0,2.153328231,15.52804587,1757.538684,1.00208915,0.945275459,1.00994951,1.208508758,4361.646228,2698670.567,1.008178521,1.167562763,1.223542045,5004.497383,21880.2124,2885.460224,2424.830859,0.994655256,1.012677595,1.02058234,0.992306762
2008/6/1,0,0,0,0,0,0,2.152958342,14.85734524,1766.69828,0.998432058,0.934619819,1.00572936,1.214776207,4373.101316,3002464.162,1.009131945,1.168221951,1.225128879,4945.274911,22010.34756,2889.145525,2410.223775,0.989947388,1.008984357,1.040292374,0.986522593
2008/7/1,0,0,0,0,0,0,2.149713503,13.8500901,1765.81718,0.99517761,0.926240023,1.000977158,1.220565526,4378.619239,3310231.635,1.010176342,1.169633746,1.223360619,4851.143825,22025.77253,2886.235387,2375.672207,0.985549855,1.004370585,1.050697039,0.980786599
2008/8/1,0,0,0,0,0,0,2.138768635,12.56201552,1749.584109,0.992833973,0.921869637,0.99622563,1.226204016,4378.536033,3584202.235,1.010670949,1.170479435,1.219698466,4738.081462,21905.16472,2872.620832,2322.874801,0.982451499,0.999585048,1.04482417,0.975863767
2008/9/1,0,0,0,0,0,0,2.116980375,11.16832995,1719.514131,0.991786078,0.922581512,0.992110421,1.233521209,4367.214027,3849773.328,1.010237591,1.170100156,1.216136318,4643.456274,21679.28172,2845.55283,2258.635284,0.981361897,0.99552565,1.022233345,0.97212184
2008/10/1,0,0,0,0,0,0,2.085368562,9.888905038,1681.856004,0.992254543,0.929240544,0.989358339,1.240259217,4361.619269,4123997.642,1.008974145,1.168329609,1.21188005,4604.969426,21468.08483,2809.61349,2200.97368,0.982921668,0.992728394,0.984425733,0.969637679
2008/11/1,0,0,0,0,0,0,2.04963646,8.848862972,1644.547966,0.994224456,0.942094588,0.988444639,1.244927267,4391.545738,4413608.175,1.006673181,1.163995538,1.206533591,4634.031593,21383.80415,2778.050404,2161.831076,0.987290244,0.9916354,0.94303659,0.968843124
2008/12/1,0,0,0,0,0,0,2.01827298,8.123661884,1615.460345,0.997535789,0.960788389,0.989699591,1.250802169,4443.306661,4702040.952,1.003808908,1.15870397,1.19835113,4717.023526,21483.43097,2763.665756,2144.584836,0.994047165,0.992204891,0.916156256,0.969847995
