tm,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,hyzzl,hyl,gyzjz,kyl,kyzzl,gdzctz,yylc
2012/6/1,0,0,0,7867.337,30642.88248,3786.241643,3106.944684,1991.238309,2.497,9.97,1.599694907,5387.25324,4988704.067,97489.019
2012/7/1,0,0,0,7903.95,30674.78889,3815.675736,3087.614436,1969.019532,2.449,9.536,1.612178599,5444.283245,5438807.27,97883.24626
2012/8/1,0,0,0,7968.544,30643.62431,3866.751848,3088.198098,1959.315795,2.426,9.394,1.626056258,5473.071802,5873527.393,98257.22682
2012/9/1,0,0,0,8069.726,30540.21331,3928.383174,3110.943744,1972.259115,2.448,9.446,1.640651057,5474.561484,6131721.482,98621.65701
2012/10/1,0,0,0,8194.175,30338.44487,3986.031388,3147.649261,2012.893041,2.52,9.572,1.659200611,5479.478431,6086527.365,99023.56511
2012/11/1,0,0,0,8318.686,30085.17738,4027.527792,3190.183975,2079.242184,2.635,9.666,1.680921335,5513.466177,5767886.168,99528.4597
2012/12/1,0,0,0,8429.038,29845.39067,4043.815434,3232.727202,2159.594693,2.781,9.664,1.699760835,5576.674508,5332153.463,100146.2415
2013/1/1,0,0,0,8511.803,29698.13191,4033.039503,3265.287562,2238.744325,2.936,9.583,1.715556006,5643.257318,4958937.307,100805.0946
2013/2/1,0,0,0,8559.417,29676.08428,4005.646892,3286.888253,2303.735181,3.061,9.435,1.726268303,5681.847257,4786486.137,101405.5857
2013/3/1,0,0,0,8581.273,29709.83852,3980.389575,3308.094642,2347.378579,3.129,9.318,1.732789101,5691.341888,4860925.186,101893.6736
2013/4/1,0,0,0,8604.807,29757.96204,3967.202159,3341.432221,2371.974067,3.153,9.326,1.738564236,5700.328545,5116352.948,102277.8716
2013/5/1,0,0,0,8656.021,29772.64024,3970.136776,3391.675884,2386.744135,3.164,9.496,1.747475921,5732.068565,5394937.524,102610.4854
2013/6/1,0,0,0,8749.687,29765.0063,3985.724455,3454.52438,2403.479776,3.197,9.785,1.761674664,5789.278274,5592872.28,102927.9969
2013/7/1,0,0,0,8885.541,29861.65573,4001.171857,3521.797376,2427.713435,3.269,10.103,1.780069355,5840.038414,5671462.672,103255.9013
2013/8/1,0,0,0,9045.638,30215.77254,4008.300787,3578.960076,2457.491655,3.365,10.323,1.800276438,5859.203294,5663248.894,103610.5725
2013/9/1,0,0,0,9186.907,30834.66414,4004.290543,3615.934272,2482.921121,3.442,10.316,1.820963667,5858.624482,5658106.566,103988.5629
2013/10/1,0,0,0,9268.479,31624.9127,3994.325268,3628.14502,2490.271926,3.47,10.055,1.838394998,5868.311175,5686014.098,104366.4528
2013/11/1,0,0,0,9275.442,32354.90148,3985.66093,3618.546179,2470.108144,3.435,9.607,1.853038178,5893.638881,5729057.687,104722.0058
2013/12/1,0,0,0,9217.173,32756.92071,3987.164646,3593.441311,2423.14773,3.345,9.1,1.860713422,5928.235485,5771444.06,105040.9303
2014/1/1,0,0,0,9135.324,32668.86628,4003.952513,3567.390456,2360.507228,3.23,8.711,1.905,1073.2327,2002050,103144
2014/2/1,0,0,0,9075.647,32108.92634,4032.921098,3549.790758,2299.033513,3.13,8.6,1.5975,801.7596,2002050,103144
2014/3/1,0,0,0,9061.473,31282.52223,4065.559265,3535.876214,2255.539973,3.071,8.72,1.8054,857.5238,2499000,103223
2014/4/1,0,0,0,9096.086,30401.77705,4098.847988,3517.843363,2240.079599,3.062,8.924,1.9843,901.1421,4286000,103559
2014/5/1,0,0,0,9165.488,29684.93144,4134.547457,3493.522637,2251.489576,3.103,9.07,1.9037,848.963,3797100,103826
2014/6/1,0,0,0,9246.57,29280.38225,4168.406667,3461.213982,2281.086753,3.175,9.02,1.9456,961.7292,5867300,104058.754
2014/7/1,0,0,0,9320.805,29322.92573,4197.022507,3431.760225,2313.918373,3.245,8.735,2.2386,1161.471,6202200,104602.554
2014/8/1,0,0,0,9380.239,29762.26877,4217.43641,3416.179088,2335.62773,3.292,8.316,2.3515,1188.4893,6896600,104946.954
2014/9/1,0,0,0,9437.18,30489.88876,4228.907724,3417.390179,2341.481686,3.295,7.907,2.0986,1002.664,8964800,105480.921
2014/10/1,0,0,0,9499.039,31376.60117,4231.730861,3433.356047,2337.066843,3.263,7.569,1.7919,781.8519,8672600,105480.921
2014/11/1,0,0,0,9561.837,32333.17231,4228.119552,3458.934221,2327.682585,3.216,7.304,1.7056,756.8986,8015800,106309.121
2014/12/1,0,0,0,9625.495,33267.36406,4220.359046,3486.247959,2313.895166,3.157768531,7.115485088,2.2427,1269.0269,18807800,111821.002
